,match_id,home_team,away_team,match_date,home_team_defense,away_team_defense
79,22646,Liverpool,Watford,2018-03-17,"['JosephGomez', 'JoelMatip', 'VirgilvanDijk', 'AndrewRobertson']","['AdrianMariappa', 'SebastianProdl', 'MiguelBritos']"
80,22639,Stoke,Man City,2018-03-10,"['MoritzBauer', 'KurtZouma', 'BrunoMartinsIndi', 'KonstantinosStafylidis']","['KyleWalker', 'VincentKompany', 'NicolasOtamendi', 'OleksandrZinchenko']"
81,22632,Arsenal,Watford,2018-03-10,"['AinsleyMaitlandNiles', 'ShkodranMustafi', 'RobHolding', 'SeadKolasinac']","['DarylJanmaat', 'SebastianProdl', 'AdrianMariappa', 'JoseHolebas']"
82,22633,Bournemouth,Spurs,2018-03-10,"['SimonFrancis', 'SteveCook', 'NathanAke', 'CharlieDaniels']","['SergeAurier', 'DavinsonSanchez', 'JanVertonghen', 'DannyRose']"
83,22637,Man Utd,Liverpool,2018-03-10,"['LuisAntonioValencia', 'EricBailly', 'ChrisSmalling', 'AshleyYoung']","['TrentAlexanderArnold', 'DejanLovren', 'VirgilvanDijk', 'AndrewRobertson']"
84,22635,Everton,Brighton,2018-03-10,"['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']","['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']"
85,22636,Huddersfield,Swansea,2018-03-10,"['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'ScottMalone']","['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']"
86,22638,Newcastle,Southampton,2018-03-10,"['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']","['CedricSoares', 'JackStephens', 'WesleyHoedt', 'RyanBertrand']"
87,22640,West Brom,Leicester,2018-03-10,"['AllanRomeoNyom', 'CraigDawson', 'AhmedHegazi', 'KieranGibbs']","['DannySimpson', 'WesMorgan', 'HarryMaguire', 'BenChilwell']"
88,22641,West Ham,Burnley,2018-03-10,"['JamesCollins', 'AngeloOgbonna', 'AaronCresswell']","['MatthewLowton', 'JamesTarkowski', 'BenMee', 'StephenWard']"
89,22634,Chelsea,Crystal Palace,2018-03-10,"['CesarAzpilicueta', 'AndreasChristensen', 'GaryCahill']","['AaronWanBissaka', 'MartinKelly', 'JamesTomkins', 'PatrickvanAanholt']"
90,22624,Crystal Palace,Man Utd,2018-03-03,"['AaronWanBissaka', 'MartinKelly', 'JamesTomkins', 'PatrickvanAanholt']","['LuisAntonioValencia', 'ChrisSmalling', 'VictorLindelof', 'AshleyYoung']"
91,22622,Brighton,Arsenal,2018-03-03,"['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']","['CalumChambers', 'ShkodranMustafi', 'LaurentKoscielny', 'SeadKolasinac']"
92,22627,Man City,Chelsea,2018-03-03,"['KyleWalker', 'NicolasOtamendi', 'AymericLaporte', 'OleksandrZinchenko']","['CesarAzpilicueta', 'AndreasChristensen', 'AntonioRudiger']"
93,22623,Burnley,Everton,2018-03-03,"['MatthewLowton', 'JamesTarkowski', 'BenMee', 'StephenWard']","['SeamusColeman', 'AshleyWilliams', 'MichaelKeane', 'CucoMartina']"
94,22625,Leicester,Bournemouth,2018-03-03,"['DanielAmartey', 'WesMorgan', 'HarryMaguire', 'ChristianFuchs']","['SimonFrancis', 'SteveCook', 'NathanAke', 'CharlieDaniels']"
95,22628,Southampton,Stoke,2018-03-03,"['CedricSoares', 'JackStephens', 'WesleyHoedt', 'RyanBertrand']","['MoritzBauer', 'KurtZouma', 'BrunoMartinsIndi', 'KonstantinosStafylidis']"
96,22629,Swansea,West Ham,2018-03-03,"['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']","['DeclanRice', 'WinstonReid', 'AaronCresswell']"
97,22630,Spurs,Huddersfield,2018-03-03,"['SergeAurier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']","['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo']"
98,22631,Watford,West Brom,2018-03-03,"['DarylJanmaat', 'SebastianProdl', 'AdrianMariappa', 'JoseHolebas']","['CraigDawson', 'AhmedHegazi', 'JonnyEvans', 'KieranGibbs']"
99,22626,Liverpool,Newcastle,2018-03-03,"['TrentAlexanderArnold', 'DejanLovren', 'VirgilvanDijk', 'AndrewRobertson']","['FlorianLejeune', 'JamaalLascelles', 'PaulDummett']"
100,22612,Arsenal,Man City,2018-02-24,"['HectorBellerin', 'ShkodranMustafi', 'LaurentKoscielny', 'SeadKolasinac']","['KyleWalker', 'VincentKompany', 'NicolasOtamendi', 'Danilo']"
101,22616,Crystal Palace,Spurs,2018-02-24,"['AaronWanBissaka', 'TimothyFosuMensah', 'JamesTomkins', 'PatrickvanAanholt']","['SergeAurier', 'DavinsonSanchez', 'EricDier', 'BenDavies']"
102,22619,Man Utd,Chelsea,2018-02-24,"['LuisAntonioValencia', 'ChrisSmalling', 'VictorLindelof', 'AshleyYoung']","['CesarAzpilicueta', 'AndreasChristensen', 'AntonioRudiger']"
103,22617,Leicester,Stoke,2018-02-24,"['DannySimpson', 'WesMorgan', 'HarryMaguire', 'BenChilwell']","['MoritzBauer', 'KurtZouma', 'BrunoMartinsIndi', 'KonstantinosStafylidis']"
104,22613,Bournemouth,Newcastle,2018-02-24,"['SimonFrancis', 'SteveCook', 'NathanAke', 'CharlieDaniels']","['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']"
105,22614,Brighton,Swansea,2018-02-24,"['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']","['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']"
106,22615,Burnley,Southampton,2018-02-24,"['MatthewLowton', 'KevinLong', 'BenMee', 'StephenWard']","['CedricSoares', 'JackStephens', 'WesleyHoedt', 'RyanBertrand']"
107,22618,Liverpool,West Ham,2018-02-24,"['TrentAlexanderArnold', 'JoelMatip', 'VirgilvanDijk', 'AndrewRobertson']","['JamesCollins', 'AngeloOgbonna', 'AaronCresswell']"
108,22621,West Brom,Huddersfield,2018-02-24,"['CraigDawson', 'AhmedHegazi', 'JonnyEvans', 'KieranGibbs']","['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo']"
109,22620,Watford,Everton,2018-02-24,"['DarylJanmaat', 'SebastianProdl', 'AdrianMariappa', 'JoseHolebas']","['JonjoeKenny', 'AshleyWilliams', 'MichaelKeane', 'CucoMartina']"
110,22602,Chelsea,West Brom,2018-02-10,"['CesarAzpilicueta', 'AndreasChristensen', 'AntonioRudiger']","['MattPhillips', 'CraigDawson', 'AhmedHegazi', 'JonnyEvans', 'KieranGibbs']"
111,22604,Huddersfield,Bournemouth,2018-02-10,"['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'ScottMalone']","['SimonFrancis', 'SteveCook', 'NathanAke']"
112,22606,Newcastle,Man Utd,2018-02-10,"['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']","['LuisAntonioValencia', 'ChrisSmalling', 'PhilJones', 'AshleyYoung']"
113,22607,Southampton,Liverpool,2018-02-10,"['CedricSoares', 'JackStephens', 'WesleyHoedt', 'RyanBertrand']","['TrentAlexanderArnold', 'JoelMatip', 'VirgilvanDijk', 'AndrewRobertson']"
114,22610,Spurs,Arsenal,2018-02-10,"['KieranTrippier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']","['HectorBellerin', 'ShkodranMustafi', 'LaurentKoscielny', 'NachoMonreal']"
115,22603,Everton,Crystal Palace,2018-02-10,"['SeamusColeman', 'MichaelKeane', 'EliaquimMangala', 'CucoMartina']","['JoelWard', 'TimothyFosuMensah', 'JamesTomkins', 'PatrickvanAanholt']"
116,22608,Stoke,Brighton,2018-02-10,"['MoritzBauer', 'RyanShawcross', 'KurtZouma', 'ErikPieters']","['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']"
117,22609,Swansea,Burnley,2018-02-10,"['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']","['MatthewLowton', 'KevinLong', 'BenMee', 'CharlieTaylor']"
118,22611,West Ham,Watford,2018-02-10,"['JamesCollins', 'AngeloOgbonna', 'AaronCresswell']","['AdrianMariappa', 'SebastianProdl', 'JoseHolebas']"
119,22605,Man City,Leicester,2018-02-10,"['KyleWalker', 'NicolasOtamendi', 'AymericLaporte', 'OleksandrZinchenko']","['AleksandarDragovic', 'HarryMaguire', 'ChristianFuchs']"
120,22600,Watford,Chelsea,2018-02-03,"['AdrianMariappa', 'SebastianProdl', 'JoseHolebas']","['CesarAzpilicueta', 'DavidLuiz', 'GaryCahill']"
121,22596,Crystal Palace,Newcastle,2018-02-03,"['TimothyFosuMensah', 'MartinKelly', 'JamesTomkins', 'PatrickvanAanholt']","['DeAndreYedlin', 'JamaalLascelles', 'CiaranClark', 'PaulDummett']"
122,22598,Liverpool,Spurs,2018-02-03,"['TrentAlexanderArnold', 'DejanLovren', 'VirgilvanDijk', 'AndrewRobertson']","['KieranTrippier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']"
123,22595,Burnley,Man City,2018-02-03,"['PhilBardsley', 'KevinLong', 'BenMee', 'CharlieTaylor']","['KyleWalker', 'VincentKompany', 'NicolasOtamendi', 'Danilo']"
124,22593,Bournemouth,Stoke,2018-02-03,"['SimonFrancis', 'SteveCook', 'NathanAke']","['MoritzBauer', 'RyanShawcross', 'KurtZouma', 'ErikPieters']"
125,22594,Brighton,West Ham,2018-02-03,"['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']","['JamesCollins', 'AngeloOgbonna', 'DeclanRice']"
126,22597,Leicester,Swansea,2018-02-03,"['DannySimpson', 'AleksandarDragovic', 'HarryMaguire', 'ChristianFuchs']","['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']"
127,22599,Man Utd,Huddersfield,2018-02-03,"['LuisAntonioValencia', 'ChrisSmalling', 'MarcosRojo', 'LukeShaw']","['TommySmith', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo']"
128,22601,West Brom,Southampton,2018-02-03,"['CraigDawson', 'GarethMcAuley', 'AhmedHegazi', 'AllanRomeoNyom']","['CedricSoares', 'JackStephens', 'WesleyHoedt', 'RyanBertrand']"
129,22592,Arsenal,Everton,2018-02-03,"['HectorBellerin', 'ShkodranMustafi', 'LaurentKoscielny', 'NachoMonreal']","['MichaelKeane', 'AshleyWilliams', 'EliaquimMangala']"
130,22585,Chelsea,Bournemouth,2018-01-30,"['CesarAzpilicueta', 'AndreasChristensen', 'GaryCahill']","['SimonFrancis', 'SteveCook', 'NathanAke']"
131,22586,Everton,Leicester,2018-01-30,"['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'CucoMartina']","['DanielAmartey', 'AleksandarDragovic', 'HarryMaguire', 'BenChilwell']"
132,22588,Newcastle,Burnley,2018-01-30,"['DeAndreYedlin', 'JamaalLascelles', 'CiaranClark', 'PaulDummett']","['PhilBardsley', 'KevinLong', 'BenMee', 'CharlieTaylor']"
133,22589,Southampton,Brighton,2018-01-30,"['CedricSoares', 'JackStephens', 'WesleyHoedt', 'RyanBertrand']","['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']"
134,22587,Man City,West Brom,2018-01-30,"['KyleWalker', 'NicolasOtamendi', 'AymericLaporte', 'OleksandrZinchenko']","['CraigDawson', 'GarethMcAuley', 'AhmedHegazi', 'AllanRomeoNyom']"
135,22590,Stoke,Watford,2018-01-30,"['MoritzBauer', 'RyanShawcross', 'KurtZouma', 'ErikPieters']","['AdrianMariappa', 'SebastianProdl', 'ChristianKabasele', 'JoseHolebas']"
136,22591,Spurs,Man Utd,2018-01-30,"['KieranTrippier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']","['LuisAntonioValencia', 'ChrisSmalling', 'PhilJones', 'AshleyYoung']"
